title_en,title_ch,year,abstract_en,abstract_ch,keywords_en,keywords_ch
Research and development of new buoyancy basket well based on internet of things technology,基于物联网的新型浮力窨井研究与开发,2019,"In order to effectively solve the problem of urban pavement water logging caused by short-term heavy rainfall,a new buoyancy basket well based on ZigBee technology is proposed, which can improve the drainage efficiency of road water logging.The buoyancy basket well drainage information and pavement seepage data are uploaded to the intelligent drainage system platform real time to monitor the urban road seepage situation online,which improve the management level of road management.This paper introduces the working principle,structure and application scope of the new buoyancy basket well,and introduces the hardware and software of the intelligent drainage system platform based on ZigBee technology.","摘要:为了有效解决短时强降雨造成城市路面积水不畅的问题,提出了一种采用ZigBee技术的新型浮力窨井,可提高道路积水的排放效率,同时将浮力窨井排水信息和路面积水数据实时上传至智能排水系统平台,对城市道路的积水情况进行在线监控。介绍了该新型浮力窨井工作原理、结构组成和适用范围,并介绍了依托ZigBee技术构建的智能排水系统平台硬件和软件。",作者关键词:Internet of thing; Intelligent drainage; Buoyancy basket well; System platform; ZigBee technology,作者关键词:物联网; 智能排水; 浮力窨井; 系统平台; ZigBee技术
Geographical routing protocol of wireless sensor networks based on trustful space-time protocol,基于可信时空协议的无线传感器网络地理路由协议,2018,"A geographical routing protocol based on trustful space-time protocol(TSTP)is proposed to use the network resources efficiently. The distance and time to live(TTL)are used as routing metrics,and the spatial distortion algorithm is introduced to map any metric to a transmission time offset and evaluate the influence of different metric combinations. Authenticated,encrypted,timed,and geo-referenced messages are provided in a resource-efficient way. Simulation results show the end to end delay,fairness and transmission ratio of TSTP present good performance in a series of network scene.","摘要:为了高效地使用有限的网络资源,提出1种基于可信时空协议(TSTP)的地理路由协议。以距离和剩余生存时间(TTL)等面向地理位置的参数作为路由度量,并映射到传输时间偏移量中,进而评估不同度量组合的影响。以节约资源的方式提供经认证、加密、定时和参考地理位置的数据消息。仿真结果表明,在不同场景下,TSTP协议的端到端时延、公平性、传输比率等指标都取得较好效果。",作者关键词:trustful space-time protocol; wireless sensor networks; geographical routing protocol; internet of things,作者关键词:可信时空协议; 无线传感网络; 地理路由协议; 物联网
Active computing method in network edge for user intention,用户意图的网络边缘主动计算方法,2018,"The internet principle of ""end-end"" cannot distinguish host-network interface, so the intent of the user cannot be aware by the network, which decreases the efficiency of the transmission. The novel edge computing-based active network especially for user intent, i-ECAN, was proposed, and the concept of the user forwarding intent was designed, which was utilized to inform the network the intent directly by the end system and was executed on the basis of the resource of edge computing. The i-ECAN can embody the user's intention in the forwarding decision of network nodes and be used in mobile communication, video broadcast, and data fusion in internet of things. In the wireless network based on CORE simulator, the switching time of normal wireless network and wireless network based on i-ECAN was compared, which proves the rationality and the feasibility of i-ECAN. The i-ECAN extends the interface between the end system and the network, which enforces the collaboration between machines and networks.","摘要:互联网端到端的设计原则没有区分端系统和网络间接口,使得用户分组处理期望无法告知网络,降低了网络效能。首次提出用户转发意图概念,端系统凭此向网络通告其意图,并借助网络边缘计算能力得以执行,实现用户意图在网络节点转发决策中的主动使能,构成新型主动表意网络i-ECAN。主动表意网络可以在视频直播加速、物联网数据融合、端系统安全认证等场景中得到应用。基于CORE模拟器构建网络演示环境,对无线网络切换和基于主动表意网络的无线网络切换的延迟进行比较,证明了主动表意网络机制的合理性和可行性。主动表意网络扩展了新的端系统和网络之间的接口,为人-网协同提供了基础。",作者关键词:forwarding intention; active network for user intention; edge computing,作者关键词:转发意图; 主动表意; 边缘计算
Efficient and provably secure short proxy signature scheme,高效的可证安全短代理签名方案,2018,"Proxy signature is widely used in large-scale wireless industrial control Internet of things, the efficiency of signature master server can be greatly improved by using proxy signature. A new short proxy signature scheme based on bilinear mapping was proposed to adapt to the application environment with limited bandwidth and weak computing power. Firstly, the security of the proposed scheme was proved based on Computational Diffie-Hellman ( CDH) problem and Collusion Attack Algorithm with k traitors ( k-CAA) problem under the random oracle model. Then, the performance advantages of the proposed scheme were analyzed with other existing proxy signature and short proxy signature schemes, and the key codes of the proposed scheme were given. The experimental results show that, the proposed scheme performs one scalar multiplication operation and one hash operation in proxy signature generation; two bilinear pairing operation, one scalar multiplication operation and two hash operations in signature verification. Compared with other similar proxy signature schemes, the proposed scheme has advantages in computational performance and is suitable for application scenarios with weak computational power and limited transmission capacity.","摘要:代理签名在大规模无线工控物联网中应用广泛,利用代理签名可以大大提高签名主服务器的效率。为适应带宽受限和计算能力弱的应用环境,提出了一个基于双线性映射的短代理签名方案。首先,在随机预言机模型下基于计算Diffie-Hellman( CDH)问题和k-碰撞攻击算法( k-CAA)问题证明了该方案的安全性。然后,与其他现有代理签名和短代理签名方案进行了性能上的优势分析,并给出了该方案实现的关键代码。实验结果表明,所提方案在代理签名生成时进行了1次标量乘运算和1次哈希运算,签名验证时进行了2次双线性对运算、1次标量乘运算和2次哈希运算,与其他同类代理签名方案相比计算性能上具有优势,适用于计算能力较弱和传输能力受限的应用场景。",作者关键词:short proxy signature; random oracle model; bilinear pairing; Computational Diffie-Hellman ( CDH) problem; Collusion Attack Algorithm with k traitors ( k-CAA) problem,作者关键词:短代理签名; 随机预言机模型; 双线性对; 计算Diffie-Hellman问题; k-碰撞攻击算法问题
Research summary of secure routing protocol for low-power and lossy networks,低功耗有损网络安全路由协议研究综述,2018,"With the rapid development of the Internet of Things ( IoT), the research and application of Low-power and Lossy Network ( LLN) has become a trend of development. Firstly, the basic principle and structure of IPv6 over Low-power Wireless Personal Area Network ( 6LoWPAN) and Routing Protocol for Low-power and lossy network ( RPL) were introduced. Secondly, the main security threats of RPL routing in LLN and the corresponding solutions were summarized, classified and compared through the different strategies adopted by the protocol. Then, the research status of existing secure RPL at home and abroad was introduced and analyzed. At the same time, the existing security threats and solutions were summarized. Finally, the security issues and development trends that needed to be further studied in large-scale, mobile, self-organizing and low-power RPL were proposed.","摘要:随着物联网不断飞速发展,低功耗有损网络( LLN)的研究与应用成为一种发展趋势。首先,介绍了6LoWPAN与低功耗有损网络路由协议( RPL)的基本原理和结构;其次,总结了LLN中RPL所面对的主要安全威胁以及应对方法,根据协议所采用的不同策略进行归纳、分类和比较;然后,对国内外已有安全RPL研究情况进行了介绍和分析,同时对现有安全威胁和解决方案进行了总结;最后,提出了在大规模、移动性、自组织、低功耗的RPL中需要进一步研究的安全问题和发展趋势。",作者关键词:6LoWPAN; IPv6 over Low-power Wireless Personal Area Network ( 6LoWPAN); Low Power and Lossy Network ( LLN); Routing Protocol for Low-power and lossy network ( RPL); security routing protocol; routing attack; Internet of Things ( IoT),作者关键词:低功耗有损网络; 低功耗有损网络路由协议; 安全路由协议; 路由攻击; 物联网
Driver's lane selection model based on multi-player dynamic game with complete information,基于完全信息多人动态博弈的车道选择模型,2018,"Aiming at driver's lane selection behavior in a clustered situation, with a view to the background of Internet of Things, the factors which influence driving behavior, such as vehicle group situation and driving propensity, are given a comprehensive consideration, and the driver's lane selection model based on multi-player dynamic game with complete information is built. The driver's payoffs under different combination of lane selection strategies are analyzed, and on this basis, the subgame perfect Nash equilibrium solution is solved through backward induction, and the driver's optimal lane selection strategy is obtained. Actual driving experiment and other means are applied for model validation. The results show that the model built in this paper can objectively reflect driver's lane selection behavior and the operation characteristic of traffic flow.","摘要:针对集群车辆驾驶员的车道选择行为,着眼物联网背景,综合考虑车辆集群态势、驾驶倾向性等影响驾驶员行为的因素,建立基于完全信息多人动态博弈的车道选择模型。通过分析不同策略组合下的驾驶员收益,运用逆向归纳法,求解子博弈精炼纳什均衡,得到驾驶员的最优车道选择策略。应用实车实验等手段验证模型,结果表明,所建模型能够较为客观地反映驾驶员车道选择行为及交通流特性。",作者关键词:intelligence transportation; lane selection; dynamic game; vehicle group situation; driving propensity,作者关键词:智能交通; 车道选择; 动态博弈; 车辆集群态势; 驾驶倾向性
Design of the Power Management System for the Low-Power Wireless IOT Terminals,低功耗无线物联网终端的电源管理系统设计,2018,"A power management system for low-power 2.4 GHz wireless internet of things (IOT) IC was designed, which was used in very low power IOT, such as smart home, industry control and agriculture automation. The IC adopted different low dropout regulator (LDO) circuits structures for highpower mode and low-power mode, respectively. A dedicated timing control logic was used to stabilize the output voltage when switching between high-power mode and low-power mode. The simulation results show that the quiescent current consumption of the low-power LDO with source follower structure is only 1 muA and the current consumptions for the single-comparator oscillator, bandgap reference and power on reset circuits are 1.2, 3 and 2 muA, respectively. The test results show that the average current consumption of the chip in sleeping mode is 7.2 muA, which is in good agreement with the simulation results of the circuit module. The power management unit was fabricated using SMIC 0.18 mum process, which occupied 227 mum*123 mum only.","摘要:设计了一种用于低功耗2.4 GHz无线物联网(IOT)芯片的电源管理系统,用于极低功耗物联网,如智能家居、工业控制、农业自动化等领域。该芯片在高功率和低功率两种模式下分别采用了不同的低压差线性稳压器(LDO)电路设计,通过特殊时序保证了高低功率模式切换时输出电压稳定。仿真结果显示,采用源随器结构的低功耗LDO的静态电流仅为1 muA,单比较器振荡电路的电流为1.2 muA,带隙基准电路的电流为3 muA,上电复位电路电流为2 muA。测试结果显示芯片在休眠状态下的平均电流为7.2 muA,与电路模块仿真结果相一致。该电源管理系统采用SMIC 0.18 mum CMOS工艺实现,面积仅为227 mum*123 mum。",作者关键词:low-power; low-cost; power management; internet of things (IOT); wireless,作者关键词:低功耗; 低成本; 电源管理; 物联网(IOT); 无线
Robust Delay-Aware Routing Protocol,高鲁棒性低延迟的路由协议,2018,"Wireless sensor networks are widely used in all aspects of human social life,such as disaster warning and industrial control.Many such applications need to meet not only high real-time data requirements,but also robustness of the requirements.The main challenge for this type of problem is to balance performance and robustness.In order to solve this problem,this article proposes a low latency and high robust routing protocol (RDR).RDR finds a shorter delay and strong resistance path through unique path detection to reduce the propagation delay.It also uses the surrounding nodes to assist in forwarding to solve the unstable link and enhance the robustness.As a result,the nodes in the network can maintain good delay performance in both good network environment and bad network environment,and also communicate with each other instead of limiting to one-way data collection.The paper uses OMNeT++platform to carry out a large number of simulation experiments around delays and robustness.Theoretical analysis and simulation experiments show that RDR can guarantee lower end-to-end delay and strong robustness.","摘要:无线传感器网络广泛应用于人类社会生活的各个方面,例如灾难预警、工业控制等.而此类应用有很多不仅对数据的实时性存在较高要求,同时对鲁棒性也存在要求.此类问题主要挑战是要兼顾延迟性能和鲁棒性.针对这个挑战,提出了低延迟高鲁棒性的路由协议(RDR),RDR通过独特的路径探测寻找延迟较短、鲁棒性较强的路径,以此降低传输延迟,利用周围节点协助转发解决不稳定链路,增强鲁棒性,使得网络中的节点可以在良好的网络环境或恶劣的网络环境中都保持较好的延迟表现,同时保证网络中节点可以进行端到端通信,不再局限于单向数据收集.使用OMNeT++平台围绕延迟、鲁棒性等多个角度进行了大量的仿真实验,通过理论分析和仿真实验结合,从各个方面说明了所提协议可以保证较低的端到端延迟,并且具有很强的鲁棒性.",作者关键词:wireless network; Internet of things; delay; robustness,作者关键词:无线网络; 物联网; 延迟; 鲁棒性
Ownership transfer protocol for RFID tags,RFID标签所有权转移协议研究,2018,"RFID tags in the use process will involve the transfer of ownership, for this reason, this paper designs a security requirement to meet the ownership transfer protocol. The protocol does not depend on the trusted third party and can reduce the number of communication entities. The new owner of the tag introduces the counter count to solve the desynchronization attack problem. The security of the designed protocol is analyzed, and the designed protocol can meet the security requirements for the transfer of ownership of labels.","摘要:RFID标签在其使用过程中会涉及到所有权转移的问题,针对于此,设计出一种满足安全需求的所有权转移协议。设计出的协议不依赖可信第三方,能够减少通信实体数;采用挑战响应机制,标签的新所有者端引入计数器[count],根据[count]的值进行相对应的操作,解决去同步化攻击问题,设计出的协议能够满足标签所有权转移需要的安全要求。",作者关键词:Internet of things; Rabin algorithm; Radio Frequency Identification(RFID); ownership transfer protocol; synchronization attack,作者关键词:物联网; Rabin算法; 射频识别; 所有权转移协议; 同步化攻击
Smart Internet of things oriented dynamic load forecasting based on quantum evolution,面向智能物联的动态负荷预测量子进化方法,2018,"With the combination of Internet of Things(IoT)and intelligent manufacturing,amount of manufacturing data had been generated.To realize the power load forecasting of intelligent manufacturing based on big data,a smart IoT cloud computing platform was designed and implemented to provide quick response of bidirectional communication and control between users and smart IoT.A new model based on improved Auto-Regressive and Moving Average with eXogenous input(ARMAX)model was proposed for short-term dynamic load forecasting combining the intelligent sensing devices in the platform and the historical load and weather information as the input variables of forecasting model.An improved real-coded quantum evolution algorithm was used for parameter estimation of new forecasting model to improve the precision of dynamic load forecasting.Compared with the actual load data of intelligent manufacturing and the forecasting results of traditional methods,the experimental results showed that the proposed scheme and algorithm could effectively improve the accuracy and precision of short-term load forecasting in intelligent manufacturing,and promote expedite load forecasting by parallel calculation.","摘要:物联网与智能制造的结合导致大量制造数据的产生,为了实现基于大数据的智能制造电力负荷预测,提出并实现了一种智能物联云计算平台,实现用户与智能物联网之间双向通信控制的快速响应。提出一种基于改进外加输入的自回归滑动平均模型的短期动态负荷预测模型,结合平台中的智能传感设备和历史负荷、天气变化等综合数据,作为预测模型的外部输入变量,并利用改进的实数编码量子进化算法对预测模型进行参数估计以提高动态负荷预测的准确性。利用智能制造企业的实际负荷数据,采用所提方法进行预测并与实际负荷数据及传统方法的预测结果进行比较,实验结果表明,所提方案和算法能够有效提高智能制造过程中短期动态负荷预测的精度,同时通过并行化计算提升负荷预测的速度。",作者关键词:smart Internet of things; intelligent manufacturing; dynamic load forecasting; auto-regressive and moving average with exogenous input model; quantum evolutionary algorithm; cloud computing,作者关键词:智能电网; 智能制造; 短期负荷预测; 外加输入的自回归滑动平均模型; 量子进化算法; 云计算
Sensor Search Based on Sensor Similarity Computing in the Internet of Things,,2018,"The Internet of Things (IoT) is becoming a hot research area, and tens of billions of devices are being connected to the Internet which are advancing on the sensor search service. IoT features (searches are strong spatiotemporal variability, limited resources of the sensor, and mass heterogeneous dynamic data) raise a challenge to the search engines for efficiently and effectively searching and selecting the sensors. In this paper, Piecewise-Linear fitting Sensor Similarity (PLSS) search method is proposed. Based on the content values, PLSS calculates the sensor similarity models to search most similarity sensors. PLSS improves the accuracy and efficiency of search compared with FUZZY set algorithm (FUZZY) and least squares method. PLSS storage costs are at least two order of magnitude less than raw data.",,作者关键词:Internet of Things (IoT); Search services; Sensor search; Sensor similarity computing; Piecewise-linear function fitting,
Integrated Design Cloud Platform for Automobile Manufacturing System Based on Internet of Things,基于物联网的汽车制造系统集成设计云平台,2018,"In order to improve the intelligent level of automobile manufacturing system,an integrated design method for automobile manufacturing system based on internet of things and cloud computing is proposed.In accordance with the proposed method,an internet of things-based integrated design cloud platform for automobile manufacturing system is constructed,in which the user's new design requirements can be processed in real time.In the process of on-line monitoring of the automobile manufacturing system,the data collection and transmission is carried out by the Internet of Things.The state data of the system is analyzed under the cloud computing platform,then the fault and design defects of the automobile manufacturing system is found,which provides a targeted improvement strategy for the conceptual design and detailed design of the system.In the automobile manufacturing system's conceptual design stage,the fuzzy integral method is used to solve the multi-index integrated decisionmaking problem in order to obtain the optimal concept design scheme.In the automobile manufacturing system's detailed design stage,the optimal topology and its parameters of the system is solved by genetic algorithm and cloud computing technology,and the automobile manufacturing system is online improved on the basis of the obtained design results.The use of cloud computing and online improvement method is conducive to improving the intelligent level of automobile manufacturing system.Taking the proposed method into practical application,the performance index optimization problem of an automobile intelligent manufacturing system is solved under the new processing requirements of a batch of automobile crankshaft,which makes the processing speed and product yield of the automobile crankshaft improved largely.After the automobile intelligent manufacturing system is improved,the average machining speed of the crankshaft for automobile is 4 pieces/h and the product qualification rate is 97%.The research shows that the proposed integrated design method for automobile manufacturing system based on internet of things and cloud computing has high engineering application value.","摘要:为了提高汽车制造系统的智能化水平,提出了基于物联网和云计算的汽车制造系统集成设计方法.结合所提出的方法,构造了基于物联网的汽车制造系统集成设计云平台,借助物联网监测系统的在线状态数据.在汽车制造系统的概念设计阶段,运用模糊积分法解决多指标集成决策问题,获取最优概念设计方案.在汽车制造系统的详细设计阶段,运用遗传算法和云计算技术求解系统的最优拓扑结构及参数,对系统进行在线改进.应用所提出的方法,解决了在一批车用曲轴新的加工要求下某汽车智能制造系统的性能指标优化问题,使车用曲轴的平均加工速度达到4件/h、产品合格率达到97%.研究表明,所提出的基于物联网和云计算的汽车制造系统集成设计方法具有较高的工程应用价值.",作者关键词:online monitoring; internet of things; cloud computing; intelligent manufacturing; integrated design; automobile crankshaft,作者关键词:在线监测; 物联网; 云计算; 智能制造; 集成设计; 车用曲轴
Research of scheme for preventing man-in-middle attack in heterogeneous sensor networks. Computer Engineering and Applications,异构传感网中避免中间人攻击的方案研究,2018,"With the development of Internet of things technology which is considerably contributed to the research of Heterogeneous Wireless Sensor Networks(HWSNs), the design of key management schemes and protocols is one of the most important aspects of HWSNs research. Besides, the key management in HWSNs meets many new challenges due to its intrinsic properties. This paper proposes a Hybrid Key Management Scheme(NHKM) which is based on Elliptic Curve Cryptography(ECC) and symmetric cryptosystem, through the use of the certificate and nonce signature to achieve authentication of the node's public key, thus well avoid Man-in-Middle(MIM) attack. The simulation results show the overall effectiveness of the NHKM scheme, revealing better performance in terms of resource cost, network connectivity, scalability and resilience.","摘要:物联网技术的快速发展,使得异构传感网(HWSNs)得到了普遍应用,HWSNs的安全也引起了广泛关注。HWSNs安全性研究的重点问题之一是密钥管理方案及其协议的设计。HWSNs固有的特性使得密钥管理研究面临许多新挑战,提出了一种基于椭圆曲线加密(ECC)与对称密码体制的混合密钥管理方案NHKM,通过使用证书和不重数签名实现对节点公钥的认证,较好地避免了中间人攻击。仿真结果表明,NHKM方案与传统的密钥管理方案相比,具有更低的资源开销、更高的网络连通性、可扩展性和抗毁性。",作者关键词:heterogeneous sensor networks; Elliptic Curve Cryptography(ECC); certificates; nonce signature; man-in-middle attack,作者关键词:异构传感网; 椭圆曲线加密(ECC); 证书; 不重数签名; 中间人攻击
"Parallel manufacturing for textile, footwear and garment industries",平行制造及其在纺织鞋服产业中的应用,2018,"This paper concerns how to apply machine vision and virtual-reality technologies into industrial robots and Internet of Things and to combine big data and cloud computing to construct a parallel manufacturing infrastructure. A worldwide flexible supply chain of footwear and garment industries is introduced to demonstrate the workflow and efficiency of parallel manufacturing. Firstly, a virtual factory is constructed in the cloud, where management policies and decision control data are synchronized with the data generated by highly automated production equipment in the workshop. The virtual factory, executing in parallel with the physical one, supplies tested and optimized decisions and guides the production process in physical factories. To provide worldwide service, a global and distributed cooperative production management platform is built based on the industrial Internet of Things, namely CIXING's cloud manufacturing platform. It operates with low production cost, high work efficiency and reduced labor numbers. It has also been listed as one of the national intelligent manufacturing pilot demonstration project by the Chinese Ministry of Industry and Information Technology.","摘要:分析了如何借助机器视觉、VR等新型智能技术将工业机器人和工业物联网应用于纺织鞋服装行业,提出平行制造的架构体系,以此为基础打造全球化分布式的柔性供应链,实现对传统产业的智能化转换。平行制造综合应用工业机器人、物联网、云计算和计算机视觉技术,打造与车间高度自动化的生产设备同步进行决策管控的云端虚拟工厂,同时与终端无人化的制衣和制鞋工厂相结合,虚实互动、终端制造、云端管控,构建基于工业互联网的全球化分布式协同生产管理平台。以宁波慈星股份有限公司的云制造平台为例,阐释了平行制造如何使得针织鞋服产品的大规模柔性按需生产成为可能,平台有效提升了劳动生产率、降低了生产成本、减少用工人数。","作者关键词:parallel manufacturing; textile, footwear and garment industries; virtual factory; large-scale flexible production",作者关键词:平行制造; 纺织鞋服产业; 虚拟工厂; 大规模柔性生产
Analysis and design of uplink resource scheduling in narrow band Internet of things,窄带蜂窝物联网终端上行资源调度的分析与设计,2018,"Narrow Band Internet of Things (NB-IoT) technology is developing rapidly. Compared with the original wireless communication,the spectrum bandwidth of NB-IoT is only 180 kHz. Therefore,how to use resources or spectrum more efficiently (ie. resource allocation and scheduling) becomes a key issue for NB-IoT technology. In order to solve this problem,the related factors of NB-IoT uplink resource scheduling were analyzed,including resource allocation,power control and uplink transmission gap,and different options for comparison to select the optimal scheme were provided. In addition, modulation and coding scheme and the selection of the number of repeated transmissions were also analyzed in detail. A greedy-stable selection modulation and coding strategy based on different coverage levels and power headroom report were proposed,with which modulation and coding level was initially selected. A compensation factor was introduced to select the number of retransmissions and the update of the modulation and coding level. Finally,the proposed scheme was simulated. The simulation results show that the proposed scheme can save more than 56% of the activity time and 46% of the resource consumption compared with the direct transmission method.","摘要:窄带蜂窝物联网(NB-IoT)技术发展迅猛,与原有的无线通信协议相比,NB-IoT的频谱带宽仅有180 kHz,因此,如何更有效地使用资源或频谱(即资源分配和调度)成为NB-IoT技术的关键问题。针对该问题,对NB-IoT上行链路资源调度的相关因素,其中包括资源分配、功率控制以及上行传输间隙进行了分析,并提供不同选择方案以选择出最优的方案;另外,针对调制与编码方案和重复传输次数的选择进行了重点分析,提出基于不同的覆盖等级联合功率余量报告的贪婪-稳定选择调制与编码策略以初步选择调制与编码级别,在选择重复传输次数时引入了一个补偿因子以衡量重传次数的大小以及对调制与编码等级更新;最后,对所提出方案进行了仿真分析。仿真结果表明,所提方案与直接传输方法相比,平均可节省超过56%的活动时间和46%的资源消耗。",作者关键词:Narrow Band Internet of Things (NB-IoT); uplink scheduling; resource allocation; modulation and coding; repeated transmission,作者关键词:窄带蜂窝物联网; 上行链路调度; 资源分配; 调制与编码; 重复传输
Design of Solar Power Generation Monitoring System Based on Internet of Things,基于物联网的太阳能发电监测系统的设计,2018,"In order to ensure stable and efficient operation of solar power equipment, this paper designed a solar power generation monitoring system based on Internet of things.The system was based on AM3352, which mainly designed the data acquisition node circuit of solar sensor, data transmission circuit of acquisition node, GPRS transmission circuit and AM3352 minimum system circuit. The experiments show that the system can effectively monitor the parameters of solar power generation in real time, so as to understand the working conditions of solar power array and timely maintenance and overhaul to it.","摘要:为了保证太阳能发电设备稳定高效运行,文中设计了一种基于物联网的太阳能发电远程监测系统。该系统以AM3352为开发平台,主要设计了太阳能传感器数据采集节点电路、采集节点数据传输电路、GPRS传输电路以及AM3352最小系统电路等。实验表明,该系统能实时有效监控太阳能发电过程中的各个参数,可实现对太阳能发电阵列环境的监测,便于及时对其维护和检修。",作者关键词:traditional energy; solar energy; Internet of things; real-time monitoring,作者关键词:传统能源; 太阳能; 物联网; 实时监测
Two-Dimensional Multiuser Access and SLT Coding Fountain System and Its Performance,多用户接入与SLT编码的二维喷泉系统及性能分析,2018,"In internet of things,the design of multiuser access system will meet great challenges.In this paper,a two-dimensional fountain system of multiuser access and SLT coding is presented based on the existing system.First of all,each user's original information is encoded by SLT codes on the time layer, and then each user competes for transmission according to the access probability on the user layer to form a two-dimensional fountain.The system makes full use of fountain codes to effectively improve the signal anti-interference ability.Secondly,for each user using SLT codes,we can simply employ the belief propagation decoding algorithm to decode.Simulation results show that compared with the existing multiuser access system,the proposed system can significantly achieve better throughput performance and solve the problem that the performance of the existing system decoding algorithm has a sharp decline in the higher access probability,so then can provide more users with the opportunity of information transmission which has good practicability in multiuser data transmission.","摘要:在物联网时代,多用户接入系统的设计将迎来巨大的挑战。本文在现有系统基础上提出了一种多用户接入与SLT编码结合的二维喷泉系统。在时间层上对各用户原始信息进行SLT编码,在用户层上各用户通过接入概率竞争传输,从而构成一种二维喷泉形式,该系统充分利用喷泉编码能有效提高信号抗干扰能力。对于采用SLT编码的每个用户,可以简单地使用置信传播译码算法进行译码。仿真结果表明,与已有多用户接入系统相比,本文提出的系统明显能实现更好的吞吐性能,且解决了已有系统译码算法在较高接入概率下性能急剧下降的问题,从而能给更多的用户进行信息传输的机会,在多用户数据传输中有很好的实用性。",作者关键词:digital fountain codes; SLT codes; multiuser access; throughput performance; access probability,作者关键词:数字喷泉码; SLT码; 多用户接入; 吞吐效率; 接入概率
Is the East Asian flora ancient or not?,,2018,"The East Asian flora (EAF) is a key biodiversity hotspot for understanding the origin and evolution of Northern Hemisphere floras, but there is an ongoing debate on whether it is a museum or a cradle for seed plants. Within the EAF, two main floras, the Sino-Himalayan Flora (mainly the Rhododendron Flora) and the Sino-Japanese Flora (mainly the Metasequoia Flora), have been recognized. Previous studies suggested that the EAF is ancient and the Metasequoia Flora is older than the Rhododendron Flora. To test this hypothesis, we synthesized molecular as well as fossil data on seed plants, focusing on the biogeographical origins and historical evolution of the EAF. We compared the ages of its two constituent floras, and examined the impact of the Asian monsoon and other environmental changes on the development of EAF through meta-analysis. Our results suggest that the EAF might be relatively young, with most of its clades originating since the Miocene. The Rhododendron Flora and the Metasequoia Flora are probably of a similar age. The formation and development of the Asian monsoon might have been the main factors that have driven the evolution of EAF. In the Rhododendron Flora, the north-south mountain chains increased the concentration of species and reduced extinction, and the barriers between the east and west have resulted in species differentiation, which triggered it to become a diversity center. The EAF appears to have multiple biogeographical origins, having closely affiliated not only with other floras in the Northern Hemisphere, but also with Gondwanan floras.",,作者关键词:Asian monsoon; East Asian Flora; Metasequoia Flora; Rhododendron Flora; temporal and spatial evolution,
Design of Intelligent Monitoring System for Rotary Drilling Rig Based on Multi-sensor Fusion,多传感融合的旋挖钻机智能监测系统设计,2018,"Aiming at the discretization error of drilling depth increment coding measurement method of rotary drilling rig, the intelligent monitoring system of rotary drilling rig based on IOT and multi sensor technology was designed. The overall scheme was designed, and the theoretical model of drilling depth was given based on the channel loss model, and the lifting force was deduced. Using ZigBee module and multi-source sensor to build the system hardware, network communication mode was set up, the program design flow of terminal node and network coordinator were given, and finally the system was debugged. The test results show that the system can realize the measurement of drilling depth, full load state and ground contact state, which is effective. At the same time, the precision of drilling depth detection is improved, which meets the engineering application requirements and improves the intelligent level of rotary drilling rig.","摘要:针对旋挖钻机钻孔深度增量编码测量方式的离散性误差,设计了基于物联网与多传感技术的旋挖钻机智能监测系统。设计了总体方案并基于信道损耗模型给出钻孔深度理论模型,同时推导了提升力。利用ZigBee模块和多源传感器进行系统硬件搭建,设置网络通信模式,给出了终端节点和网络协调器的程序设计流程,最后进行系统调试。测试结果表明:系统可以实现钻孔深度、满载状态、触地状态的测量,具有有效性,同时钻孔深度检测精度提升,满足工程应用要求,提高旋挖钻机智能化水平。",作者关键词:rotary drilling rig; drilling depth; Internet of things technology; multi-sensor,作者关键词:旋挖钻机; 钻孔深度; 物联网技术; 多传感器
Data capitalization method based on blockchain smart contract for Internet of Things,基于区块链智能合约的物联网数据资产化方法,2018,"The Internet of Things data capitalization method based on blockchain smart contract was used as a solution to the challenges when ascertaining data ownership, dealing with the inefficiency of quantification and value transfer of digital asset. The data's right was determined by transferring data ownership and control from the equipment manufacturers to the users, with the aid of digital fingerprints stored in the blockchain. The data reliability was ensured by storing the up-to-date device status and hash of the data into the blockchain, which was achieved by the full lifecycle management and digital signatures. A data trading platform without any third-party was established based on smart contract to guarantee the security of data sharing and accomplish the realization and migration of data's value. The quantitative analysis of attack probability and attack success rate shows that the technology of blockchain smart contract provides data tamper resistance and eliminates the trust crisis in data transaction processes. The proposed method realizes the capitalization of data in the Internet of Things initially and may help promote the data value migration and data sharing in the Internet of Things in future.","摘要:使用基于区块链智能合约的物联网数据资产化方法解决物联网系统中个人数据难以确权、数据资产的量化跟踪和价值转移无法高效完成等问题.借助区块链数字指纹将数据所有权和控制权从设备生产商转移至用户,为个人数据确权;通过全生命周期管理和数字签名等技术,将设备状态和数据哈希值存储至区块链,保证数据的可靠性;使用智能合约构建去第三方数据交易平台,保证数据共享的安全性,便捷地完成数据变现和数据价值转移.攻击可能性和攻击成功概率的量化分析结果表明,区块链智能合约技术可以为数据提供防篡改性,消除数据交易过程中的信任问题.借助区块链智能合约技术能够初步实现物联网数据的资产化,促进物联网设备的数据价值转移和共享.",作者关键词:blockchain; smart contract; Internet of Things (IoT); data capitalization; determination of data ownership,作者关键词:区块链; 智能合约; 物联网; 数据资产化; 数据确权
